product_id,product,source_product_name,financial_year,financial_year_start,calendar_year,month_number,month_name,consumption_metric_tonnes,consumption_unit,source_dataset,source_row_number,validation_status
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2024,7,JUL,408,metric_tonnes,india_petroleum_consumption.csv,113,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2024,8,AUG,286,metric_tonnes,india_petroleum_consumption.csv,114,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2024,9,SEP,416,metric_tonnes,india_petroleum_consumption.csv,115,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2024,10,OCT,638,metric_tonnes,india_petroleum_consumption.csv,116,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2024,11,NOV,708,metric_tonnes,india_petroleum_consumption.csv,117,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2024,12,DEC,771,metric_tonnes,india_petroleum_consumption.csv,118,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2025,1,JAN,765,metric_tonnes,india_petroleum_consumption.csv,119,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2025,2,FEB,833,metric_tonnes,india_petroleum_consumption.csv,120,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2025,3,MAR,986,metric_tonnes,india_petroleum_consumption.csv,121,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2024,4,APR,1805,metric_tonnes,india_petroleum_consumption.csv,122,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2024,5,MAY,1723,metric_tonnes,india_petroleum_consumption.csv,123,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2024,6,JUN,1532,metric_tonnes,india_petroleum_consumption.csv,124,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2024,7,JUL,2368,metric_tonnes,india_petroleum_consumption.csv,125,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2024,8,AUG,1725,metric_tonnes,india_petroleum_consumption.csv,126,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2024,9,SEP,1213,metric_tonnes,india_petroleum_consumption.csv,127,VALID
product-64fce74e71066b7ec4cf,Petroleum coke,Petroleum coke,2024-25,2024,2024,10,OCT,2035,metric_tonnes,india_petroleum_consumption.csv,128,VALID
