country_id,canonical_name,source_name,source_normalized_name,source_dataset,country_code,mapping_status,mapping_method,review_reason
country-56e07143bc9a352fdee2,El Salvador,El Salvador,El Salvador,global_oil_country.csv,,MAPPED,source_name_exact,
country-243801106c4d7b8f43fb,Finland,Finland,Finland,global_oil_country.csv,,MAPPED,source_name_exact,
country-00b025b1e87b88f1e71f,Fiji,Fiji,Fiji,global_oil_country.csv,,MAPPED,source_name_exact,
country-0c70295131b454314c58,Falkland Islands,Falkland Islands,Falkland Islands,global_oil_country.csv,,MAPPED,source_name_exact,
country-3a534ac42c2d806c6002,Faroe Islands,Faroe Islands,Faroe Islands,global_oil_country.csv,,MAPPED,source_name_exact,
country-bee4921955762cf109cc,French Polynesia,French Polynesia,French Polynesia,global_oil_country.csv,,MAPPED,source_name_exact,
country-1097bf50dd7ffb4cef53,Gambia,Gambia,Gambia,global_oil_country.csv,,MAPPED,source_name_exact,
country-91ad0ddb5c2827e4a147,Gibraltar,Gibraltar,Gibraltar,global_oil_country.csv,,MAPPED,source_name_exact,
country-e0eae764f2c00bfd9a4b,Grenada,Grenada,Grenada,global_oil_country.csv,,MAPPED,source_name_exact,
country-f71ef5459640bf06d3b6,Greenland,Greenland,Greenland,global_oil_country.csv,,MAPPED,source_name_exact,
country-7c2bff5f7a72046990fa,Guam,Guam,Guam,global_oil_country.csv,,MAPPED,source_name_exact,
country-3f7351456856a4eecf6c,Guinea,Guinea,Guinea,global_oil_country.csv,,MAPPED,source_name_exact,
country-63b911d37593d484cabb,Guyana,Guyana,Guyana,global_oil_country.csv,,MAPPED,source_name_exact,
country-9684cac8ca6d8e671e59,Gaza Strip,Gaza Strip,Gaza Strip,global_oil_country.csv,,MAPPED,source_name_exact,
country-08134d7a6fb39b220f63,Haiti,Haiti,Haiti,global_oil_country.csv,,MAPPED,source_name_exact,
country-21bd3229a131a2cc251b,Hong Kong,Hong Kong,Hong Kong,global_oil_country.csv,,MAPPED,source_name_exact,
country-5a381f836ae9e1bab04a,Honduras,Honduras,Honduras,global_oil_country.csv,,MAPPED,source_name_exact,
country-9eb5c59d70089e53cb31,Iceland,Iceland,Iceland,global_oil_country.csv,,MAPPED,source_name_exact,
country-ff63d149bd73429d489f,Jamaica,Jamaica,Jamaica,global_oil_country.csv,,MAPPED,source_name_exact,
country-3b5f7a488f457a7e53fe,Kenya,Kenya,Kenya,global_oil_country.csv,,MAPPED,source_name_exact,
country-831e4f1d6d77ed43a2da,North Korea,North Korea,North Korea,global_oil_country.csv,,MAPPED,source_name_exact,
country-725789d8d08d48a36d53,Kiribati,Kiribati,Kiribati,global_oil_country.csv,,MAPPED,source_name_exact,
country-d83d0388b282d66a754e,South Korea,South Korea,South Korea,global_oil_country.csv,,MAPPED,source_name_exact,
country-84308789368f0cb09497,Laos,Laos,Laos,global_oil_country.csv,,MAPPED,source_name_exact,
country-8a57a440886c59423289,Lebanon,Lebanon,Lebanon,global_oil_country.csv,,MAPPED,source_name_exact,
country-15bc5d87cc42f41470cb,Latvia,Latvia,Latvia,global_oil_country.csv,,MAPPED,source_name_exact,
country-1a8ee6c730a37af2a823,Liberia,Liberia,Liberia,global_oil_country.csv,,MAPPED,source_name_exact,
country-7a1de3309cef5e896951,Lesotho,Lesotho,Lesotho,global_oil_country.csv,,MAPPED,source_name_exact,
country-68f453c00d9c88ac8834,Luxembourg,Luxembourg,Luxembourg,global_oil_country.csv,,MAPPED,source_name_exact,
country-48a1b7dc93bad7588b46,Madagascar,Madagascar,Madagascar,global_oil_country.csv,,MAPPED,source_name_exact,
country-260048fecac2c70eec2c,Macau,Macau,Macau,global_oil_country.csv,,MAPPED,source_name_exact,
country-3eeceb71042dec77ae77,Montserrat,Montserrat,Montserrat,global_oil_country.csv,,MAPPED,source_name_exact,
country-e46e98b84eb37c36ed4f,Malawi,Malawi,Malawi,global_oil_country.csv,,MAPPED,source_name_exact,
country-f830720f3e3bed7436b2,Montenegro,Montenegro,Montenegro,global_oil_country.csv,,MAPPED,source_name_exact,
country-cda43d570683ca091ab1,Macedonia,Macedonia,Macedonia,global_oil_country.csv,,MAPPED,source_name_exact,
country-937aa06da838dc105431,Mali,Mali,Mali,global_oil_country.csv,,MAPPED,source_name_exact,
country-3562494677b9bd33a5af,Mauritius,Mauritius,Mauritius,global_oil_country.csv,,MAPPED,source_name_exact,
country-79f9550e027130e35b20,Malta,Malta,Malta,global_oil_country.csv,,MAPPED,source_name_exact,
country-b9aade37f226572c2fbc,Maldives,Maldives,Maldives,global_oil_country.csv,,MAPPED,source_name_exact,
country-2e8a238d84ee730c4be9,Mozambique,Mozambique,Mozambique,global_oil_country.csv,,MAPPED,source_name_exact,
country-96abdb6afaa9e38dcf99,New Caledonia,New Caledonia,New Caledonia,global_oil_country.csv,,MAPPED,source_name_exact,
country-56979bcbcec308d6a9db,Niue,Niue,Niue,global_oil_country.csv,,MAPPED,source_name_exact,
country-0fc226118263e65d3c71,Vanuatu,Vanuatu,Vanuatu,global_oil_country.csv,,MAPPED,source_name_exact,
country-a23e9cdda7a3e0db6beb,Nepal,Nepal,Nepal,global_oil_country.csv,,MAPPED,source_name_exact,
country-1620f91609560ef7072f,Nauru,Nauru,Nauru,global_oil_country.csv,,MAPPED,source_name_exact,
country-53dafebc5552bc4301fd,Nicaragua,Nicaragua,Nicaragua,global_oil_country.csv,,MAPPED,source_name_exact,
country-fa27e700926b5bbbae03,Paraguay,Paraguay,Paraguay,global_oil_country.csv,,MAPPED,source_name_exact,
country-d1775cdbcf90d7864101,Panama,Panama,Panama,global_oil_country.csv,,MAPPED,source_name_exact,
country-6636b31811ee0bbf593d,Portugal,Portugal,Portugal,global_oil_country.csv,,MAPPED,source_name_exact,
country-dcacc5666aba7cbb3d67,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,global_oil_country.csv,,MAPPED,source_name_exact,
country-f50b92b29527bc026aa0,Puerto Rico,Puerto Rico,Puerto Rico,global_oil_country.csv,,MAPPED,source_name_exact,
country-b57e6c30643eaf6a3d52,Rwanda,Rwanda,Rwanda,global_oil_country.csv,,MAPPED,source_name_exact,
country-a497936d41767ee349fd,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Saint Pierre and Miquelon,global_oil_country.csv,,MAPPED,source_name_exact,
country-1721830ff712793d56c9,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,global_oil_country.csv,,MAPPED,source_name_exact,
country-f57147693006c95066d9,Seychelles,Seychelles,Seychelles,global_oil_country.csv,,MAPPED,source_name_exact,
country-4a724471c49ba697b3e2,Senegal,Senegal,Senegal,global_oil_country.csv,,MAPPED,source_name_exact,
country-29d5d38588cd4003df1f,Saint Helena,Saint Helena,Saint Helena,global_oil_country.csv,,MAPPED,source_name_exact,
country-70ef838ec62b2fb85a92,Slovenia,Slovenia,Slovenia,global_oil_country.csv,,MAPPED,source_name_exact,
country-70dfea54663e8e2c9969,Sierra Leone,Sierra Leone,Sierra Leone,global_oil_country.csv,,MAPPED,source_name_exact,
country-51e2a46721d104d9148d,Singapore,Singapore,Singapore,global_oil_country.csv,,MAPPED,source_name_exact,
country-7d28ff3bd433e26594da,Somalia,Somalia,Somalia,global_oil_country.csv,,MAPPED,source_name_exact,
country-000f1e1ca955d5188365,Saint Lucia,Saint Lucia,Saint Lucia,global_oil_country.csv,,MAPPED,source_name_exact,
country-295099c764e6439694e9,Sweden,Sweden,Sweden,global_oil_country.csv,,MAPPED,source_name_exact,
country-c32f5de8269a9aced9a2,Switzerland,Switzerland,Switzerland,global_oil_country.csv,,MAPPED,source_name_exact,
country-1bf0283a8976095de648,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,global_oil_country.csv,,MAPPED,source_name_exact,
country-c3fcefdff6a2ec9e51ba,Tokelau,Tokelau,Tokelau,global_oil_country.csv,,MAPPED,source_name_exact,
country-32ad1aca2ef116a4cd17,Tonga,Tonga,Tonga,global_oil_country.csv,,MAPPED,source_name_exact,
country-7d6b68079d4614fd7e3e,Togo,Togo,Togo,global_oil_country.csv,,MAPPED,source_name_exact,
country-db0a8f84841d9e8286c9,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,global_oil_country.csv,,MAPPED,source_name_exact,
country-4246e6406ccf630cdfa2,Timor-Leste,Timor-Leste,Timor-Leste,global_oil_country.csv,,MAPPED,source_name_exact,
country-74947702044149ef9377,Tanzania,Tanzania,Tanzania,global_oil_country.csv,,MAPPED,source_name_exact,
country-0f9ea5841e716cb4aa7a,Burkina Faso,Burkina Faso,Burkina Faso,global_oil_country.csv,,MAPPED,source_name_exact,
country-b7d177840ebb22170751,Uruguay,Uruguay,Uruguay,global_oil_country.csv,,MAPPED,source_name_exact,
country-6a5e6bb18132ec7449bb,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,global_oil_country.csv,,MAPPED,source_name_exact,
country-df3a1b2f37ca9012ce63,British Virgin Islands,British Virgin Islands,British Virgin Islands,global_oil_country.csv,,MAPPED,source_name_exact,
country-b51ebaf9c293a8b7c7df,U.S. Virgin Islands,U.S. Virgin Islands,U.S. Virgin Islands,global_oil_country.csv,,MAPPED,source_name_exact,
country-62b09943d6869aafa20f,Namibia,Namibia,Namibia,global_oil_country.csv,,MAPPED,source_name_exact,
country-d8956af488b4adab00b4,West Bank,West Bank,West Bank,global_oil_country.csv,,MAPPED,source_name_exact,
country-f32131a932eb4d673e7a,Western Sahara,Western Sahara,Western Sahara,global_oil_country.csv,,MAPPED,source_name_exact,
country-0c474a68bcff4e665d34,Samoa,Samoa,Samoa,global_oil_country.csv,,MAPPED,source_name_exact,
country-f0871dafaa9aad08b214,Swaziland,Swaziland,Swaziland,global_oil_country.csv,,MAPPED,source_name_exact,
country-71c4d741f010ce317afa,Zambia,Zambia,Zambia,global_oil_country.csv,,MAPPED,source_name_exact,
country-13291c08152247c4776a,Zimbabwe,Zimbabwe,Zimbabwe,global_oil_country.csv,,MAPPED,source_name_exact,
country-6c1925d6560c7c47d21c,Saudi Arabia,Saudi Arab,Saudi Arabia,supplier_crude_imports_2014_2017.csv,11351,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-818d76d6586437a090e7,Iraq,Iraq,Iraq,supplier_crude_imports_2014_2017.csv,11191,MAPPED,exact_canonical_or_explicit_spelling_repair,
country-7942e84ee77ffefd180f,Venezuela,Venezuela,Venezuela,supplier_crude_imports_2014_2017.csv,6433,MAPPED,exact_canonical_or_explicit_spelling_repair,
