country_id,canonical_name,source_dataset,mapping_status
country-ccce216a59d326e4558d,United Arab Emirates,global_oil_country.csv,CANONICAL
country-0e98cc0b1589b955ff17,United Kingdom,global_oil_country.csv,CANONICAL
country-981e5b396726008318fc,United States,global_oil_country.csv,CANONICAL
country-b7d177840ebb22170751,Uruguay,global_oil_country.csv,CANONICAL
country-1c438aa8cb197cc6b8a3,Uzbekistan,global_oil_country.csv,CANONICAL
country-0fc226118263e65d3c71,Vanuatu,global_oil_country.csv,CANONICAL
country-7942e84ee77ffefd180f,Venezuela,global_oil_country.csv,CANONICAL
country-4558505e43ad952755f6,Vietnam,global_oil_country.csv,CANONICAL
country-d8956af488b4adab00b4,West Bank,global_oil_country.csv,CANONICAL
country-f32131a932eb4d673e7a,Western Sahara,global_oil_country.csv,CANONICAL
country-cc3d6b2176eba4a5795a,Yemen,global_oil_country.csv,CANONICAL
country-71c4d741f010ce317afa,Zambia,global_oil_country.csv,CANONICAL
country-13291c08152247c4776a,Zimbabwe,global_oil_country.csv,CANONICAL
